stadium_name,capacity,city_name,country_name,team_name
Camp Nou,99354,Barcelona,Spain,Barcelona
RCDE Stadium,40500,Cornellà,Spain,Espanyol
Santiago Bernabéu,81044,Madrid,Spain,R. Madrid
Wanda Metropolitano,68456,Madrid,Spain,Atlético
Estadio de Vallecas,14708,Madrid,Spain,Rayo
Coliseum Alfonso Pérez,17393,Getafe,Spain,Getafe
Estadio Municipal de Butarque,11454,Leganés,Spain,Club Deportivo Leganés
Ramón Sánchez-Pizjuán,43883,Sevilla,Spain,Sevilla
Benito Villamarín,60720,Sevilla,Spain,Betis
La Rosaleda,30044,Málaga,Spain,Málaga
Nuevo Los Cármenes,19336,Granada,Spain,Granada
San Mamés,53289,Bilbao,Spain,Athletic
Ipurua,7083,Eibar,Spain,Eibar
Mestalla,49430,Valencia,Spain,Valencia
Estadio Ciudad de Valencia,25354,Valencia,Spain,Levante
Estadio de la Cerámica,23500,Villarreal,Spain,Villarreal CF
Martínez Valero,33732,Elche,Spain,Elche CF
Abanca-Riazor,34600,A Coruña,Spain,Deportivo
Abanca Balaídos,29000,Vigo,Spain,Celta
El Sadar,18761,Pamplona,Spain,Osasuna
La Romareda,34596,Zaragoza,Spain,Zaragoza
José Zorrilla,26512,Valladolid,Spain,Valladolid
El Molinón,29029,Gijón,Spain,Sporting
Anoeta,39500,San Sebastián,Spain,R. Sociedad
Mendizorroza,19840,Vitoria-Gasteiz,Spain,Alavés
Gran Canaria,32400,Las Palmas,Spain,Las Palmas
Heliodoro Rodríguez López,22500,Santa Cruz de Tenerife,Spain,Tenerife
Son Moix,23142,Palma,Spain,Mallorca
El Arcángel,20989,Córdoba,Spain,Córdoba
Los Pajaritos,10087,Soria,Spain,Numancia
Anxo Carro,6700,Lugo,Spain,Lugo
Santo Domingo,6000,Alcorcón,Spain,Alcorcón
Anduva,5500,Miranda de Ebro,Spain,Mirandés
Mediterráneo,15000,Almería,Spain,UD Almería
Rico Pérez,29500,Alicante,Spain,Hércules
Nueva Condomina,31179,Murcia,Spain,Murcia
Nova Creu Alta,11500,Sabadell,Spain,Sabadell
Nuevo Colombino,15500,Huelva,Spain,Recreativo
Montilivi,13286,Girona,Spain,Girona
El Toralín,9000,Ponferrada,Spain,Ponferradina
Alfonso Murube,12000,Ceuta,Spain,Ceuta
Estadio Desconocido,0,,Spain,
