team_name,city_name,country_name,continent_name
Barcelona,Barcelona,Spain,Europe
Espanyol,Barcelona,Spain,Europe
R. Madrid,Madrid,Spain,Europe
Atlético,Madrid,Spain,Europe
Rayo,Madrid,Spain,Europe
Getafe,Getafe,Spain,Europe
Club Deportivo Leganés,Leganés,Spain,Europe
Sevilla,Sevilla,Spain,Europe
Betis,Sevilla,Spain,Europe
Málaga,Málaga,Spain,Europe
Granada,Granada,Spain,Europe
Athletic,Bilbao,Spain,Europe
Eibar,Eibar,Spain,Europe
Valencia,Valencia,Spain,Europe
Levante,Valencia,Spain,Europe
Villarreal CF,Villarreal,Spain,Europe
Elche CF,Elche,Spain,Europe
Deportivo,A Coruña,Spain,Europe
Celta,Vigo,Spain,Europe
Osasuna,Pamplona,Spain,Europe
Zaragoza,Zaragoza,Spain,Europe
Valladolid,Valladolid,Spain,Europe
Sporting,Gijón,Spain,Europe
R. Sociedad,San Sebastián,Spain,Europe
Alavés,Vitoria-Gasteiz,Spain,Europe
Las Palmas,Las Palmas,Spain,Europe
Tenerife,Santa Cruz de Tenerife,Spain,Europe
Mallorca,Palma,Spain,Europe
Córdoba,Córdoba,Spain,Europe
Numancia,Soria,Spain,Europe
Lugo,Lugo,Spain,Europe
Alcorcón,Alcorcón,Spain,Europe
Mirandés,Miranda de Ebro,Spain,Europe
UD Almería,Almería,Spain,Europe
Hércules,Alicante,Spain,Europe
Murcia,Murcia,Spain,Europe
Sabadell,Sabadell,Spain,Europe
Recreativo,Huelva,Spain,Europe
Girona,Girona,Spain,Europe
Ponferradina,Ponferrada,Spain,Europe
Castilla,Madrid,Spain,Europe
Barcelonab,Barcelona,Spain,Europe
Ceuta,Ceuta,Spain,Europe
