day,month,year,quarter,day_of_week
18,8,2012,3,7
19,8,2012,3,1
25,8,2012,3,7
26,8,2012,3,1
1,9,2012,3,7
2,9,2012,3,1
15,9,2012,3,7
16,9,2012,3,1
22,9,2012,3,7
23,9,2012,3,1
29,9,2012,3,7
30,9,2012,3,1
6,10,2012,4,7
7,10,2012,4,1
20,10,2012,4,7
21,10,2012,4,1
27,10,2012,4,7
28,10,2012,4,1
3,11,2012,4,7
4,11,2012,4,1
10,11,2012,4,7
11,11,2012,4,1
17,11,2012,4,7
18,11,2012,4,1
24,11,2012,4,7
25,11,2012,4,1
1,12,2012,4,7
2,12,2012,4,1
8,12,2012,4,7
9,12,2012,4,1
15,12,2012,4,7
16,12,2012,4,1
22,12,2012,4,7
23,12,2012,4,1
12,1,2013,1,7
13,1,2013,1,1
19,1,2013,1,7
20,1,2013,1,1
26,1,2013,1,7
27,1,2013,1,1
2,2,2013,1,7
3,2,2013,1,1
9,2,2013,1,7
10,2,2013,1,1
16,2,2013,1,7
17,2,2013,1,1
23,2,2013,1,7
24,2,2013,1,1
2,3,2013,1,7
3,3,2013,1,1
9,3,2013,1,7
10,3,2013,1,1
16,3,2013,1,7
17,3,2013,1,1
23,3,2013,1,7
24,3,2013,1,1
30,3,2013,1,7
31,3,2013,2,1
6,4,2013,2,7
7,4,2013,2,1
13,4,2013,2,7
14,4,2013,2,1
20,4,2013,2,7
21,4,2013,2,1
27,4,2013,2,7
28,4,2013,2,1
4,5,2013,2,7
5,5,2013,2,1
11,5,2013,2,7
12,5,2013,2,1
19,5,2013,2,1
26,5,2013,2,1
17,8,2013,3,7
18,8,2013,3,1
24,8,2013,3,7
25,8,2013,3,1
31,8,2013,3,7
1,9,2013,3,1
14,9,2013,3,7
15,9,2013,3,1
21,9,2013,3,7
22,9,2013,3,1
28,9,2013,3,7
29,9,2013,3,1
5,10,2013,4,7
6,10,2013,4,1
19,10,2013,4,7
20,10,2013,4,1
26,10,2013,4,7
27,10,2013,4,1
2,11,2013,4,7
3,11,2013,4,1
9,11,2013,4,7
10,11,2013,4,1
23,11,2013,4,7
24,11,2013,4,1
30,11,2013,4,7
1,12,2013,4,1
7,12,2013,4,7
8,12,2013,4,1
14,12,2013,4,7
15,12,2013,4,1
21,12,2013,4,7
22,12,2013,4,1
11,1,2014,1,7
12,1,2014,1,1
18,1,2014,1,7
19,1,2014,1,1
25,1,2014,1,7
26,1,2014,1,1
1,2,2014,1,7
2,2,2014,1,1
8,2,2014,1,7
9,2,2014,1,1
15,2,2014,1,7
16,2,2014,1,1
22,2,2014,1,7
23,2,2014,1,1
1,3,2014,1,7
2,3,2014,1,1
8,3,2014,1,7
9,3,2014,1,1
15,3,2014,1,7
16,3,2014,1,1
22,3,2014,1,7
23,3,2014,1,1
29,3,2014,1,7
30,3,2014,2,1
5,4,2014,2,7
6,4,2014,2,1
12,4,2014,2,7
13,4,2014,2,1
19,4,2014,2,7
20,4,2014,2,1
26,4,2014,2,7
27,4,2014,2,1
3,5,2014,2,7
4,5,2014,2,1
11,5,2014,2,1
18,5,2014,2,1
23,8,2014,3,7
24,8,2014,3,1
30,8,2014,3,7
31,8,2014,3,1
13,9,2014,3,7
14,9,2014,3,1
20,9,2014,3,7
21,9,2014,3,1
27,9,2014,3,7
28,9,2014,3,1
4,10,2014,4,7
5,10,2014,4,1
18,10,2014,4,7
19,10,2014,4,1
25,10,2014,4,7
26,10,2014,4,1
1,11,2014,4,7
2,11,2014,4,1
8,11,2014,4,7
9,11,2014,4,1
22,11,2014,4,7
23,11,2014,4,1
29,11,2014,4,7
30,11,2014,4,1
6,12,2014,4,7
7,12,2014,4,1
13,12,2014,4,7
14,12,2014,4,1
20,12,2014,4,7
21,12,2014,4,1
10,1,2015,1,7
11,1,2015,1,1
17,1,2015,1,7
18,1,2015,1,1
24,1,2015,1,7
25,1,2015,1,1
31,1,2015,1,7
1,2,2015,1,1
7,2,2015,1,7
8,2,2015,1,1
14,2,2015,1,7
15,2,2015,1,1
21,2,2015,1,7
22,2,2015,1,1
28,2,2015,1,7
1,3,2015,1,1
7,3,2015,1,7
8,3,2015,1,1
14,3,2015,1,7
15,3,2015,1,1
21,3,2015,1,7
22,3,2015,1,1
4,4,2015,2,7
5,4,2015,2,1
11,4,2015,2,7
12,4,2015,2,1
18,4,2015,2,7
19,4,2015,2,1
25,4,2015,2,7
26,4,2015,2,1
2,5,2015,2,7
3,5,2015,2,1
9,5,2015,2,7
10,5,2015,2,1
17,5,2015,2,1
23,5,2015,2,7
21,8,2015,3,5
22,8,2015,3,6
23,8,2015,3,1
29,8,2015,3,7
30,8,2015,3,1
12,9,2015,3,7
13,9,2015,3,1
19,9,2015,3,7
20,9,2015,3,1
26,9,2015,3,7
27,9,2015,3,1
3,10,2015,4,7
4,10,2015,4,1
17,10,2015,4,7
18,10,2015,4,1
24,10,2015,4,7
25,10,2015,4,1
31,10,2015,4,7
1,11,2015,4,1
