team_name,city_name,country_name,continent_name
Barcelona,Barcelona,Spain,Europe
Espanyol,Barcelona,Spain,Europe
Sevilla,Sevilla,Spain,Europe
Valencia,Valencia,Spain,Europe
Levante,Valencia,Spain,Europe
Málaga,Málaga,Spain,Europe
Athletic,Bilbao,Spain,Europe
Granada,Granada,Spain,Europe
Celta,Vigo,Spain,Europe
R. Sociedad,San Sebastián,Spain,Europe
Villarreal CF,Villarreal,Spain,Europe
Osasuna,Pamplona,Spain,Europe
Zaragoza,Zaragoza,Spain,Europe
Mallorca,Palma,Spain,Europe
Rayo,Madrid,Spain,Europe
Betis,Sevilla,Spain,Europe
Atlético,Madrid,Spain,Europe
R. Madrid,Madrid,Spain,Europe
Getafe,Getafe,Spain,Europe
Eibar,Eibar,Spain,Europe
Almería UD,Almería,Spain,Europe
Elche CF,Elche,Spain,Europe
Córdoba,Córdoba,Spain,Europe
Valladolid,Valladolid,Spain,Europe
Deportivo,A Coruña,Spain,Europe
Sporting,Gijón,Spain,Europe
Tenerife,Santa Cruz de Tenerife,Spain,Europe
Las Palmas,Las Palmas,Spain,Europe
Girona,Girona,Spain,Europe
Alavés,Vitoria-Gasteiz,Spain,Europe
Leganés CD,Leganés,Spain,Europe
Numancia,Soria,Spain,Europe
Lugo,Lugo,Spain,Europe
Mirandés,Miranda de Ebro,Spain,Europe
Alcorcón,Alcorcón,Spain,Europe
Ponferradina,Ponferrada,Spain,Europe
Hércules,Alicante,Spain,Europe
Murcia,Murcia,Spain,Europe
Sabadell,Sabadell,Spain,Europe
Recreativo,Huelva,Spain,Europe
Jaén,Jaén,Spain,Europe
Castilla,Madrid,Spain,Europe
Barcelonab,Barcelona,Spain,Europe
